merch_state,retail_cost,aggregated_day_count,unique_visitors
CA,5853.3201293945312,233455,161455
FL,4171.5798606872559,68184,46433
NY,4501.7999267578125,67204,54201
DE,1404.5400466918945,52463,44388
TX,4440.7599182128906,50130,36828
OH,8272.7799224853516,31282,26172
NC,4281.0001373291016,27813,17658
WI,5345.9901180267334,26754,21577
TN,4175.4398498535156,24528,17169
CO,4845.4399795532227,23765,17816
AZ,4688.0901737213135,20480,16138
PA,6836.0596466064453,20366,16623
GA,4064.1001739501953,19845,15402
MO,6222.8499221801758,19363,15369
VA,5306.0598449707031,19313,12572
WA,4386.8699035644531,18697,14175
IL,4766.72021484375,18028,14568
MN,5930.3997802734375,16975,14010
SC,4787.9000968933105,16487,10650
NV,3040.2399864196777,16167,12325
MI,3047.5198974609375,15132,11731
KS,5961.3600540161133,14976,12666
AL,6196.0800304412842,13814,9668
NJ,4117.3397674560547,13520,10427
AK,5007.4401779174805,12174,8357
UT,3392.5,11886,9515
OK,4508.4000778198242,10923,8302
MA,5976.0900421142578,10499,8330
HI,6279.6800537109375,10327,6229
MD,5114.3998718261719,9954,7905
LA,5082.2098846435547,9828,7421
MS,5884.9200210571289,9532,6616
KY,4433.4000549316406,9443,7707
OR,5136.5599060058594,9225,7208
IA,11661.139961242676,8569,6983
AR,4948.529914855957,8237,6259
IN,4874.310173034668,7824,6345
NM,4813.4698829650879,7210,5571
ID,3909.0600872039795,5635,3946
SD,5029.1998062133789,5412,4237
CT,6196.9200172424316,5332,4233
WY,3853.0800704956055,4918,3928
MT,3807.7300395965576,4746,3443
ME,3541.5998840332031,3987,2779
NH,3215.5,3951,3222
ND,5996.159912109375,3672,3090
WV,4848.0599555969238,3473,2661
NE,4587.1099815368652,3256,2651
VT,10767.900382995605,2297,1787
RI,2764.8001098632812,1534,1129
DC,3016.8600969314575,1089,858
XX,93.210000991821289,2,2